Heart_rate,Max_volume,Min_volume,Endsys_volume,Enddiast_volume,Max_preassure,Min_preassure,Endsys_preassure,Enddiast_preassure,Stroke_vol,Eject_F,Cardiac_output,Stroke_work,Art_elastance,dPdt_max,dPdt_min,dVdt_max,dVdt_min,PdVdt_max,PdPdt_max,VdPdt_max,VdPdt_min,Tau_w,Tau_g,Max_power,PAMP,Group
392,502.34,278.26,280.46,501.59,125.27,1.07,110.84,5.24,224.08,44.61,87876.1,19907,0.49,10347,-9375,5968,-9545,3.23,64.9,449.09,280.39,9,12.53,99.16,3.94,Control
392,501.22,280.71,285.11,490.54,128.3,1.07,116.57,4.81,220.51,44,86475.74,19490,0.53,10519,-9704,5968,-8225,1.21,74.06,444.76,283.16,8.88,11.93,104.59,4.35,Control
390,488.53,276.37,280.96,454.36,127.05,-2.79,114.18,1.5,212.15,43.43,82657.71,19838,0.54,10566,-10237,5399,-8479,3.26,72.57,441.11,277.56,8,12.03,104.07,5.04,Control
395,454.05,263.31,276.24,438.47,120.38,-3.14,111.68,1.08,190.74,42.01,75290.26,19501,0.59,11021,-9594,7541,-7662,-1.19,30.02,439.48,265.38,7.83,12.45,111.86,5.82,Control
387,493.36,269.47,274.68,492.36,117.58,1.05,104.71,5.78,223.9,45.38,86669.59,17993,0.47,11742,-8716,6409,-6972,3.56,29.41,447.27,271.16,9.23,13.16,103.16,4.26,Control
390,505.86,276.12,279.14,505.3,123.66,1.3,108.91,5.82,229.74,45.42,89507.92,20712,0.47,11429,-8748,5907,-7348,1.69,34.38,469.31,277.06,9.04,12.93,114.81,4.5,Control
392,506.87,284.92,290.69,504.11,128.44,1,117.72,5.17,221.95,43.79,87038.26,19525,0.53,10660,-9877,6155,-8413,3.07,68.27,451.29,286.8,8.86,11.84,102.95,4.05,Control
392,503.79,283.34,288.43,491.35,129.68,-1.19,119.1,2.23,220.45,43.76,86449.63,19943,0.54,10723,-10676,6845,-8479,-0.99,67.88,451.03,286.17,8.19,11.61,103.16,4.27,Control
392,490.66,270.03,278.01,440.54,125.43,-2.84,116.03,1.22,220.63,44.97,86523.21,20584,0.53,10660,-9735,10368,-10174,104.39,69.15,440.48,272.42,7.72,12.34,109.48,5.64,Control
392,476.78,271.6,291.01,476.78,120.21,-1.93,113.63,5.13,205.18,43.03,80463.69,18972,0.55,11460,-9485,6724,-6906,-1.43,28.72,447.83,271.6,8.47,12.33,105.65,4.65,Control
390,506.49,274.36,288.62,506.49,123.74,1.49,113.5,5.83,232.13,45.83,90439.36,20953,0.49,10645,-9077,5526,-7535,1.5,38.8,467.24,276.12,9.17,12.91,116.24,4.53,Control
395,505.17,284.48,289.81,502.79,127.77,1.08,116.29,5.06,220.69,43.69,87116.33,19917,0.53,10566,-10441,6276,-10549,3.39,67.13,452.79,286.23,8.82,11.78,98.35,3.89,Control
392,502.73,282.97,287.87,494.68,129.48,0.81,118.5,3.84,219.76,43.71,86179.06,19713,0.54,10708,-10755,5713,-7602,1.22,70.45,448.9,286.49,8.65,11.68,106.59,4.36,Control
395,493.62,277.56,282.9,447.9,125.62,-2.49,114,0.83,216.05,43.77,85283.89,19781,0.53,10770,-9924,7535,-8728,102.25,29.19,460.08,279.07,7.67,12.42,107.82,5.37,Control
392,448.14,264.63,269.65,440.61,119.29,-2.74,106.63,1.49,183.51,40.95,71966.6,19363,0.58,10911,-9265,6155,-7535,-0.11,24.96,440.74,265.88,7.88,12.62,108.32,5.58,Control
390,502.6,270.47,282.84,502.6,119.57,1.49,110.8,5.78,232.13,46.19,90439.36,18423,0.48,10692,-8042,6028,-9357,7.18,25.74,448.21,271.66,9.47,13.84,107.78,4.27,Control
395,507.25,277.19,281.33,505.93,125.04,1.3,111.23,5.3,230.06,45.35,90812.28,20236,0.48,10911,-9736,5841,-9926,97.9,34.02,471.76,278.76,9.15,12.3,102.04,3.99,Control
392,505.49,280.33,283.91,495,128.33,1.05,116.61,4.81,225.16,44.54,88296.21,19592,0.52,10598,-10692,5901,-7783,1.38,68.6,447.9,285.17,8.73,11.64,107.75,4.4,Control
392,494.18,278.45,283.85,452.16,127.12,-2.35,116.29,1.55,215.73,43.65,84600.68,19876,0.54,10582,-9751,7348,-8286,102.01,75.25,443.44,281.33,7.87,12.31,104.56,5.11,Control
395,452.48,264.25,274.74,437.15,121.28,-2.9,112.42,0.94,188.22,41.6,74298.78,19614,0.6,11037,-9344,6464,-6972,-0.03,30.77,439.98,266.89,7.76,12.63,108.76,5.69,Control
390,497.19,271.48,276.94,496.69,119.21,0.94,106.78,6.11,225.72,45.4,87942.16,17612,0.47,10707,-9014,6282,-8976,1.94,34.24,446.39,274.93,9.28,12.9,100.21,4.06,Control
395,513.21,280.08,288.74,511.33,125.02,1.33,114.07,5.42,233.14,45.43,92028.33,20687,0.49,11225,-9892,5901,-7408,3.56,33.88,476.22,282.97,9.09,12.01,122,4.67,Control
395,511.01,286.67,289.87,500.96,128.61,0.96,117.09,5.06,224.34,43.9,88554.58,19501,0.52,10613,-10676,6403,-10235,1.55,72.08,451.1,291.19,8.84,11.54,102.59,4.09,Control
395,500.02,283.66,285.98,487.72,129.02,-1.1,117.36,1.68,216.36,43.27,85405.73,19794,0.54,10660,-10660,6343,-8165,-1.04,74.34,447.45,286.55,8.12,11.51,100.28,4.22,Control
395,487.96,272.42,279.83,442.93,123.88,-2.93,114.47,1.03,215.54,44.17,85083.21,20043,0.53,10566,-10284,6718,-10931,105.69,72.99,439.73,274.62,7.85,11.97,114.08,5.81,Control
395,477.85,270.72,287.74,477.85,118.91,-2.16,110.84,5.06,207.13,43.35,81762.35,18738,0.54,10598,-9093,7850,-7408,-1.69,71.6,441.17,271.91,8.54,12.73,109.57,4.8,Control
390,513.34,274.49,287.24,512.58,122.8,1.6,112.17,5.86,238.85,46.53,93056.83,20572,0.47,11585,-9093,6216,-9230,1.6,35.87,463.66,276.75,9.23,12.78,119.16,4.54,Control
395,510.45,283.03,286.49,501.34,127.23,1.11,114.76,5.25,227.42,44.55,89770.63,19935,0.5,10598,-10347,6028,-8728,3.23,30.9,472.26,286.17,8.97,11.81,102.53,4.08,Control
395,501.97,283.16,288.62,492.93,129.3,0.88,118.96,4.2,218.81,43.59,86373.32,19536,0.54,10723,-10018,6845,-8607,102.04,74.97,448.14,288.18,8.74,12.14,101.52,4.18,Control
395,490.92,279.07,285.8,450.53,126.15,-2.37,116.06,1.14,211.85,43.15,83623.46,19617,0.55,10613,-10488,6597,-8915,102.37,29.08,460.9,280.96,7.74,11.91,107.98,5.32,Control
392,450.03,266.26,277.06,442.12,120.31,-2.89,110.62,1.39,183.76,40.83,72063.91,19455,0.6,11115,-9312,7662,-7723,-2.54,26.79,440.04,266.89,7.86,12.44,104.93,5.37,Control
390,502.03,268.96,274.05,499.46,119.32,1.39,106.26,5.96,233.07,46.42,90804.86,18376,0.46,11444,-8262,6282,-7354,2.04,27.64,448.65,270.47,9.45,13.16,105.19,4.22,Control
392,509.32,279.2,288.94,508.06,125.24,1.22,114.14,5.53,230.12,45.18,90242.47,20656,0.5,10849,-9579,6028,-8600,100.33,36.45,474.27,281.4,9.05,12.37,103.97,4.03,Control
395,507.94,284.66,289.37,498.83,129.15,1.14,118.33,5.22,223.27,43.96,88134.09,19586,0.53,10551,-10770,5968,-8855,3.1,74.29,449.71,288.31,8.94,11.62,101.96,4.1,Control
392,498.58,280.71,282.59,482.56,129.35,-1.21,116.95,1.68,217.87,43.7,85440.9,20082,0.54,10755,-10300,5653,-9357,-1.08,72.14,446.83,283.91,8.1,11.84,109.37,4.7,Control
397,482.56,270.34,278.32,440.29,124,-3.03,114.79,0.53,212.22,43.98,84326.37,20061,0.54,10958,-10269,6343,-9545,102.67,29.91,451.79,271.66,7.75,11.98,120.62,6.22,Control
